__id__,ISO3
1,ZWE
2,ZMB
3,YEM
4,VNM
5,VEN
6,VAT
7,VUT
8,UZB
9,URY
10,FSM
11,MHL
12,MNP
13,VIR
14,GUM
15,ASM
16,PRI
17,USA
18,SGS
19,IOT
20,SHN
21,PCN
22,AIA
23,FLK
24,CYM
25,BMU
26,VGB
27,TCA
28,MSR
29,JEY
30,GGY
31,IMN
32,GBR
33,ARE
34,UKR
35,UGA
36,TKM
37,TUR
38,TUN
39,TTO
40,TON
41,TGO
42,TLS
43,THA
44,TZA
45,TJK
46,TWN
47,SYR
48,CHE
49,SWE
50,SWZ
51,SUR
52,SSD
53,SDN
54,LKA
55,ESP
56,KOR
57,ZAF
58,SOM
59,-99
60,SLB
61,SVK
62,SVN
63,SGP
64,SLE
65,SYC
66,SRB
67,SEN
68,SAU
69,STP
70,SMR
71,WSM
72,VCT
73,LCA
74,KNA
75,RWA
76,RUS
77,ROU
78,QAT
79,PRT
80,POL
81,PHL
82,PER
83,PRY
84,PNG
85,PAN
86,PLW
87,PAK
88,OMN
89,PRK
90,NGA
91,NER
92,NIC
93,NZL
94,NIU
95,COK
96,NLD
97,ABW
98,CUW
99,NPL
100,NRU
101,NAM
102,MOZ
103,MAR
104,ESH
105,MNE
106,MNG
107,MDA
108,MCO
109,MEX
110,MUS
111,MRT
112,MLT
113,MLI
114,MDV
115,MYS
116,MWI
117,MDG
118,MKD
119,LUX
120,LTU
121,LIE
122,LBY
123,LBR
124,LSO
125,LBN
126,LVA
127,LAO
128,KGZ
129,KWT
130,KIR
131,KEN
132,KAZ
133,JOR
134,JPN
135,JAM
136,ITA
137,ISR
138,PSE
139,IRL
140,IRQ
141,IRN
142,IDN
143,IND
144,ISL
145,HUN
146,HND
147,HTI
148,GUY
149,GNB
150,GIN
151,GTM
152,GRD
153,GRC
154,GHA
155,DEU
156,GEO
157,GMB
158,GAB
159,SPM
160,WLF
161,MAF
162,BLM
163,PYF
164,NCL
165,ATF
166,ALA
167,FIN
168,FJI
169,ETH
170,EST
171,ERI
172,GNQ
173,SLV
174,EGY
175,ECU
176,DOM
177,DMA
178,DJI
179,GRL
180,FRO
181,DNK
182,CZE
183,CYP
184,CUB
185,HRV
186,CIV
187,CRI
188,COD
189,COG
190,COM
191,COL
192,CHN
193,MAC
194,HKG
195,CHL
196,TCD
197,CAF
198,CPV
199,CAN
200,CMR
201,KHM
202,MMR
203,BDI
204,BFA
205,BGR
206,BRN
207,BRA
208,BWA
209,BIH
210,BOL
211,BTN
212,BEN
213,BLZ
214,BEL
215,BLR
216,BRB
217,BGD
218,BHR
219,BHS
220,AZE
221,AUT
222,AUS
223,HMD
224,NFK
225,ARM
226,ARG
227,ATG
228,AGO
229,AND
230,DZA
231,ALB
232,AFG
233,ATA
234,SXM
235,TUV
